,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,202009200LAL,37.4,3.6,1st quarter,11:45.0,Nikola Jokić,DEN,False,2-pointer,13,0-0,'LAL',tied
1,1,1,202009200LAL,26.3,3.7,1st quarter,10:03.0,Paul Millsap,DEN,False,2-pointer,2,0-3,'LAL',trails
2,2,2,202009200LAL,25.2,3.8,1st quarter,9:55.0,Gary Harris,DEN,False,2-pointer,1,0-3,'LAL',trails
3,3,3,202009200LAL,21.8,10.5,1st quarter,9:05.0,Nikola Jokić,DEN,False,2-pointer,8,0-3,'LAL',trails
4,4,4,202009200LAL,21.5,3.3,1st quarter,8:44.0,Jerami Grant,DEN,True,2-pointer,3,2-3,'LAL',trails
5,5,5,202009200LAL,33.8,12.1,1st quarter,8:08.0,Jamal Murray,DEN,True,2-pointer,13,4-5,'LAL',trails
6,6,6,202009200LAL,37.7,25.3,1st quarter,7:38.0,Jerami Grant,DEN,True,3-pointer,26,7-7,'LAL',tied
7,7,7,202009200LAL,0.7,4.4,1st quarter,7:11.0,Gary Harris,DEN,False,3-pointer,23,7-7,'LAL',tied
8,8,8,202009200LAL,14.1,27.4,1st quarter,7:06.0,Jamal Murray,DEN,True,3-pointer,26,10-7,'LAL',leads
9,9,9,202009200LAL,5.5,11.3,1st quarter,6:29.0,Nikola Jokić,DEN,False,2-pointer,20,10-7,'LAL',leads
10,10,10,202009200LAL,23.8,5.7,1st quarter,6:05.0,Nikola Jokić,DEN,True,2-pointer,2,12-7,'LAL',leads
11,11,11,202009200LAL,17.1,10.3,1st quarter,5:15.0,Nikola Jokić,DEN,False,2-pointer,10,12-10,'LAL',leads
12,12,12,202009200LAL,31.2,7.3,1st quarter,5:05.0,Nikola Jokić,DEN,False,2-pointer,8,12-10,'LAL',leads
13,13,13,202009200LAL,24.5,5.7,1st quarter,4:48.0,Paul Millsap,DEN,False,2-pointer,2,12-12,'LAL',tied
